	step3	step4
0	Finissage	Finissage
1	Finissage	Finissage
2	Forradalom	Forradalom
3	Forradalom	Forradalom
4	Col Tempo és#8211 A Wprojekt	DELETED
5	Col Tempo és#8211 A Wprojekt	DELETED
6	Die Planung	Die Planung
7	A Terv	A Terv
8	Die Planung	Die Planung
9	A Terv	A Terv
10	Kismező  Nagymező	Kismező  Nagymező
11	Kismező  Nagymező	Kismező  Nagymező
12	Klíma	Klíma
13	Klíma	Klíma
14	Out of Time	Out of Time
15	Out of Time	Out of Time
16	Szerviz	Szerviz
17	Szerviz	Szerviz
18	Utópia vagy disztópiapályázat	Utópia vagy disztópiapályázat
19	Vágyvírus	Vágyvírus
20	Németh László keramikus	Németh László keramikus
21	Király Levente költő estje	Király Levente költő estje
22	kiállítása	kiállítása
23	Y GALÉRIA TÁRSASÁG	Y GALÉRIA TÁRSASÁG
24	Én meg Ének	Én meg Ének
25	Fekete Zoltán videoinstallációja	Fekete Zoltán videoinstallációja
26	Fekete Zoltán videoinstallációja	Fekete Zoltán videoinstallációja
27	&#213excellenciája Dimitris Contoumas úr	DELETED
28	&#213excellenciája Dimitris Contoumas úr	DELETED
29	&#8222Biciklis közműtárgy&#8221 kiállítás Madárijesztőrémísztő kiállítás	DELETED
30	&Aringsa Sonjasdottír	&Aringsa Sonjasdottír
31	&Aringsa Sonjasdottír	&Aringsa Sonjasdottír
32	Gróf Ferenc	Gróf Ferenc
33	Gróf Ferenc	Gróf Ferenc
34	Sajnos Gegely	Sajnos Gegely
35	Sajnos Gegely	Sajnos Gegely
36	An Chiin performer	An Chiin performer
37	An Chiin performer	An Chiin performer
38	Fodor János	Fodor János
39	Fodor János	Fodor János
40	Fodor János	Fodor János
41	Fodor János	Fodor János
42	adhoc zenekar	adhoc zenekar
43	adhoc zenekar	adhoc zenekar
44	44 pályázó	DELETED
45	SILAGI	SILAGI
46	E SZIRAKI	E SZIRAKI
47	SILAGI	SILAGI
48	KZS ölma	KZS ölma
49	Válogatás Zimányi László gyűjteményéből	Válogatás Zimányi László gyűjteményéből
50	Válogatás Zimányi László gyűjteményéből	Válogatás Zimányi László gyűjteményéből
51	büfé	büfé
52	büfé	büfé
53	meglepetés	meglepetés
54	meglepetés	meglepetés
55	El Kazovszkij	El Kazovszkij
56	El Kazovszkij	El Kazovszkij
57	Janáky István	Janáky István
58	Janáky István	Janáky István
59	Simsay Ildikó	Simsay Ildikó
60	Simsay Ildikó	Simsay Ildikó
61	műhely	műhely
62	Szépfalvi Ágnes	Szépfalvi Ágnes
63	Szilágyi Kornél	Szilágyi Kornél
64	Vándor Csaba	Vándor Csaba
65	Várnagy Tibor	Várnagy Tibor
66	Várnai Gyula	Várnai Gyula
67	Szépfalvi Ágnes	Szépfalvi Ágnes
68	Szilágyi Kornél	Szilágyi Kornél
69	Vándor Csaba	Vándor Csaba
70	Várnagy Tibor	Várnagy Tibor
71	Várnai Gyula	Várnai Gyula
72	VASIL ARTAMONOV	VASIL ARTAMONOV
73	ALEXEY KLYUYKOV	ALEXEY KLYUYKOV
74	válogatás a gyűjteményből	válogatás a gyűjteményből
75	válogatás a gyűjteményből	válogatás a gyűjteményből
76	kurátorok Adam Nankervis	kurátorok Adam Nankervis
77	kurátorok Adam Nankervis	kurátorok Adam Nankervis
78	Bodó Viktor	Bodó Viktor
79	Bordács Andrea	Bordács Andrea
80	Bordács Andrea	Bordács Andrea
81	Haris László fotóművész	Haris László fotóművész
82	Kincses Károly fotótörténész beszélget a szerzőről	Kincses Károly fotótörténész beszélget a szerzőről
83	képeiről	képeiről
84	Haris László fotóművész	Haris László fotóművész
85	Kincses Károly fotótörténész beszélget a szerzőről	Kincses Károly fotótörténész beszélget a szerzőről
86	képeiről	képeiről
87	Hudra Klára	Hudra Klára
88	Hudra Klára	Hudra Klára
89	Ilona Keserü Ilona	Ilona Keserü Ilona
90	Katkó Tamás	Katkó Tamás
91	Katkó Tamás	Katkó Tamás
